name,policy,size,assoc,level,miss
171.swim,2,22,8,1,0.06979435022902876
171.swim,2,23,16,1,0.06972233891806667
171.swim,2,23,32,1,0.06971950685869008
171.swim,2,23,4,1,0.06974153026723283
171.swim,2,23,64,1,0.06971801550017902
171.swim,2,23,8,1,0.0697288871993657
171.swim,2,24,16,1,0.06916076178355345
171.swim,2,24,32,1,0.06915225951824606
171.swim,2,24,4,1,0.0692104164129994
171.swim,2,24,64,1,0.06914974551389887
171.swim,2,24,8,1,0.06917083910606382
171.swim,2,25,16,1,0.06722974165268038
171.swim,2,25,32,1,0.06723924221511351
171.swim,2,25,4,1,0.06686909007625987
171.swim,2,25,64,1,0.06722747570082022
171.swim,2,25,8,1,0.06719837290473317
171.swim,l,16,16,1,0.0867642341507065
171.swim,l,16,32,1,0.08676444263653917
171.swim,l,16,4,1,0.08431433995795139
171.swim,l,16,64,1,0.08676444720192236
171.swim,l,16,8,1,0.08676395261874269
171.swim,l,17,16,1,0.07931987009031671
171.swim,l,17,32,1,0.07932016075304693
171.swim,l,17,4,1,0.0818198465367439
171.swim,l,17,64,1,0.07932096121690083
171.swim,l,17,8,1,0.07932949239630178
171.swim,l,18,16,1,0.06982115511557328
171.swim,l,18,32,1,0.06982118555146126
171.swim,l,18,4,1,0.0698204855260377
171.swim,l,18,64,1,0.06982118555146126
171.swim,l,18,8,1,0.06982124946682601
171.swim,l,19,16,1,0.069815936882579
171.swim,l,19,32,1,0.06981491880212605
171.swim,l,19,4,1,0.06981726845267816
171.swim,l,19,64,1,0.06981439073946959
171.swim,l,19,8,1,0.06981819979085035
171.swim,l,20,16,1,0.06981238957983486
171.swim,l,20,32,1,0.06981158455059777
171.swim,l,20,4,1,0.0698149994572292
171.swim,l,20,64,1,0.0698112375814748
171.swim,l,20,8,1,0.06981534490455778
171.swim,l,21,16,1,0.06980805246579763
171.swim,l,21,32,1,0.06980631305479953
171.swim,l,21,4,1,0.06980687003154959
171.swim,l,21,64,1,0.06980546693711367
171.swim,l,21,8,1,0.06980782876202098
171.swim,l,22,16,1,0.06979562092735195
171.swim,l,22,32,1,0.06979595267853095
171.swim,l,22,4,1,0.06979238254887082
171.swim,l,22,64,1,0.06979433196749597
171.swim,l,22,8,1,0.06979512786596667
171.swim,l,23,16,1,0.06977116873494835
171.swim,l,23,32,1,0.06977178810526874
171.swim,l,23,4,1,0.06976798970644876
171.swim,l,23,64,1,0.06977197072059663
171.swim,l,23,8,1,0.06976892713179857
171.swim,l,24,16,1,0.06943994257502747
171.swim,l,24,32,1,0.0694512038535803
171.swim,l,24,4,1,0.0692990457187989
171.swim,l,24,64,1,0.06946690420639509
171.swim,l,24,8,1,0.06937663440623344
171.swim,l,25,16,1,0.0674817995025805
171.swim,l,25,32,1,0.06754994393397466
171.swim,l,25,4,1,0.06702092711242308
171.swim,l,25,64,1,0.06757464113527652
171.swim,l,25,8,1,0.06728104438546047
172.mgrid,2,16,16,1,0.03486519153033382
172.mgrid,2,16,32,1,0.035055649394242376
172.mgrid,2,16,4,1,0.0344839491166438
172.mgrid,2,16,64,1,0.03494569489067207
172.mgrid,2,16,8,1,0.034621861342312855
172.mgrid,2,17,16,1,0.03407186920370641
172.mgrid,2,17,32,1,0.034127731115344895
172.mgrid,2,17,4,1,0.03416156918315608
172.mgrid,2,17,64,1,0.03417433875742379
172.mgrid,2,17,8,1,0.03405600983994321
172.mgrid,2,18,16,1,0.033149855977856295
172.mgrid,2,18,32,1,0.0331280517547839
