name,policy,size,level,miss
178.galgel,2,24,1,0.0001518758715438764
178.galgel,2,25,1,0.0001518758715438764
178.galgel,f,16,1,0.03139048554467982
178.galgel,f,17,1,0.030135596373644654
178.galgel,f,18,1,0.02917674907389936
178.galgel,f,19,1,0.026133422885297637
178.galgel,f,20,1,0.013128407986282394
178.galgel,f,21,1,0.00023339719396435127
178.galgel,f,22,1,0.00018127346852017784
178.galgel,f,23,1,0.00016257736262023837
178.galgel,f,24,1,0.0001518758715438764
178.galgel,f,25,1,0.0001518758715438764
178.galgel,l,16,1,0.029316653621639516
178.galgel,l,17,1,0.029105631171132604
178.galgel,l,18,1,0.028747678896021773
178.galgel,l,19,1,0.026527898603061862
178.galgel,l,20,1,0.011017223836633054
178.galgel,l,21,1,0.00017505516550796207
178.galgel,l,22,1,0.0001639089906425348
178.galgel,l,23,1,0.000151898893320422
178.galgel,l,24,1,0.0001518758715438764
178.galgel,l,25,1,0.0001518758715438764
178.galgel,r,16,1,0.033961091055401016
178.galgel,r,17,1,0.030753624446718857
178.galgel,r,18,1,0.028721630361696632
178.galgel,r,19,1,0.02371220810592584
178.galgel,r,20,1,0.00725778469014831
178.galgel,r,21,1,0.00026961893017775313
178.galgel,r,22,1,0.00017319161328021698
178.galgel,r,23,1,0.0001550516650347216
178.galgel,r,24,1,0.0001518758715438764
178.galgel,r,25,1,0.0001518758715438764
179.art,2,16,1,0.3272960103195313
179.art,2,17,1,0.3272647544119743
179.art,2,18,1,0.32606700253730564
179.art,2,19,1,0.2953820142447458
179.art,2,20,1,0.17492567512232798
179.art,2,21,1,0.038776873134741804
179.art,2,22,1,0.00007038367331359418
179.art,2,23,1,0.00007038367331359418
179.art,2,24,1,0.00007038367331359418
179.art,2,25,1,0.00007038367331359418
179.art,f,16,1,0.32752612296365347
179.art,f,17,1,0.3273915862836429
179.art,f,18,1,0.32732432673573536
179.art,f,19,1,0.3272891964437629
179.art,f,20,1,0.18039281398872928
179.art,f,21,1,0.060104503577410796
